Name,#,Idea or Message,Source,Type / Medium,Why It Is Significant,Year (approx.)
Babylonian MUL.APIN Tablets,5,Creates standardized celestial catalogue for ritual and science,https://handwiki.org/wiki/Astronomy:Babylonian_star_catalogues,Clay cuneiform lists,"Forerunner of the 12-sign zodiac and modern stellar cataloguing

Предшественник 12-знакового зодиака и современной звездной каталогизации","c. 1,000 BCE (canonical)"
"Yayoi Kusama,Infinity Dots Mirrored Room",16,Self-obliteration within boundless universe,https://hirshhorn.si.edu/kusama/infinity-rooms/,Mirror-paneled LED environment,"Pop/psychedelic bridge between inner psyche and cosmic infinity

Поп- и психоделический мост между внутренним миром души и космической бесконечностью","1996 (Tokyo) / 2012-ongoing iterations

Самоуничтожение в безграничной вселенной"
Dendera Zodiac,4,Hellenistic–Egyptian synthesis of cosmology and divination,https://en.wikipedia.org/wiki/Dendera_zodiac,Sandstone bas-relief,"First complete ancient sky map in round form; influenced Greco-Roman astrology

Первая полная карта древнего неба в круглой форме; оказала влияние на греко-римскую астрологию",50 BCE
"Robert Hodgin,Solar Transits",21,Melds nostalgia for early astrophotography with blockchain age,https://www.artblocks.io/legacy/info/spectrum/in-conversation-with-robert-hodgin-on-solar-transits,Generative algorithmic daguerreotypes,Shows how digital generative art renews centuries-old sky iconography,2023
Tomb of Senenmut Astronomical Ceiling,3,Maps time for ritual afterlife navigation,https://en.wikipedia.org/wiki/Astronomical_ceiling_of_Senenmut's_Tomb,Painted plaster vault,"Earliest Egyptian star ceiling and prototype for later zodiacal art

Самый ранний египетский звездный потолок и прототип более позднего зодиакального искусства","c. 1,465 BCE"
"Giotto,Adoration of the Magi",9,Unites biblical narrative with observed astronomy,https://www.wga.hu/html_m/g/giotto/padova/3christ/chris02.html,Fresco,"First realistic comet in Western art; points to empirical eye in Renaissance faith

Первая реалистическая комета в западном искусстве; указывает на эмпирический взгляд в вере эпохи Возрождения",1304-06
"Trevor Paglen,The Last Pictures",18,"Time-capsule of civilization for deep future; critiques anthropocene legacy

Временная капсула цивилизации для глубокого будущего; критика наследия антропоцена","https://paglen.studio/2020/01/21/the-last-pictures/

https://paglen.studio/lastpictures/

https://creativetime.org/projects/the-last-pictures/the-pictures/

https://www.societyandspace.org/articles/the-last-pictures-by-trevor-paglen",Etched nano-disk on EchoStar XVI satellite,"Art that literally leaves the planet

Искусство, которое буквально покидает планету",2012
"Kimchi & Chips,HALO",19,"Fuses computation, solar power, and ephemeral optics

Объединяет вычислительную технику, солнечную энергию и эфемерную оптику","https://www.kimchiandchips.com/works/halo/

https://www.creativeapplications.net/project/halo-sculpting-the-sunlight-into-immaterial-form/

https://www.flickr.com/photos/parkylondon/28195636887",99 robotic mirrors + mist,"Demonstrates urban harnessing of natural light; poetic tech-nature dialogue

Демонстрирует использование естественного света в городских условиях; поэтичный диалог технологий и природы

— Использования света солнца для создания объекта. Звезда становиться инструментом, не объектом или источником вдохновления",2018
"Holbein,The Ambassadors",11,Humanist mastery vs. cosmic memento mori,https://artsandculture.google.com/story/life-death-and-our-place-in-the-universe-the-ambassadors-the-national-gallery-london/hwVxE5U3Vl1xIg,Oil on oak panel,"Encodes astronomical data and moral allegory in Tudor portraiture

Содержит астрономические данные и моральные аллегории в портретах эпохи Тюдоров",1533
"Wright of Derby,A Philosopher Lecturing on the Orrery",12,Democratises scientific wonder,https://www.europeana.eu/en/item/2063624/UK_280_003,Oil on canvas,"Icon of Enlightenment faith in heliocentric reason

Символ Просвещения, веры в гелиоцентрический разум",1766
