#,Name,Type / Medium,Year (approx.),Idea or Message,Why It Is Significant,Source
1,Lascaux “Chambre des Taureaux” constellation motif,Cave painting in ochre and charcoal,"c. 17,000 BCE",Records early sky-watching; links animal myth to stellar pattern,"Possibly the earliest graphic depiction of a known star cluster, showing Paleolithic cognitive mapping of the heavens

Возможно, это самое раннее графическое изображение известного звездного скопления, демонстрирующее палеолитическую когнитивную карту небес",http://ui.adsabs.harvard.edu/abs/1997ascu.conf..217R/abstract
2,Nebra Sky Disc,Bronze disc inlaid with gold,"c. 1,800 BCE",Synchronizes lunar–solar calendars; blends empirical observation with myth,"Oldest concrete image of the cosmos on metal; rewrites Bronze-Age astronomical capability

Древнейшее конкретное изображение космоса на металле; воссоздает астрономические возможности бронзового века",https://en.wikipedia.org/wiki/Nebra_sky_disc
3,Tomb of Senenmut Astronomical Ceiling,Painted plaster vault,"c. 1,465 BCE",Maps time for ritual afterlife navigation,"Earliest Egyptian star ceiling and prototype for later zodiacal art

Самый ранний египетский звездный потолок и прототип более позднего зодиакального искусства",https://en.wikipedia.org/wiki/Astronomical_ceiling_of_Senenmut's_Tomb
4,Dendera Zodiac,Sandstone bas-relief,50 BCE,Hellenistic–Egyptian synthesis of cosmology and divination,"First complete ancient sky map in round form; influenced Greco-Roman astrology

Первая полная карта древнего неба в круглой форме; оказала влияние на греко-римскую астрологию",https://en.wikipedia.org/wiki/Dendera_zodiac
5,Babylonian MUL.APIN Tablets,Clay cuneiform lists,"c. 1,000 BCE (canonical)",Creates standardized celestial catalogue for ritual and science,"Forerunner of the 12-sign zodiac and modern stellar cataloguing

Предшественник 12-знакового зодиака и современной звездной каталогизации",https://handwiki.org/wiki/Astronomy:Babylonian_star_catalogues
6,Farnese Atlas,Marble sculpture,2nd C CE (copy of 2nd C BCE original),Embodies cosmos as burden of knowledge,"Oldest surviving 3-D star globe; physical bridge between myth and astronomy

Старейший из сохранившихся трехмерных звездных глобусов; физический мост между мифом и астрономией",https://www.electrummagazine.com/2016/09/the-farnese-atlas/
7,Dunhuang Star Chart,Ink on mulberry paper scroll,649-684 CE,Integrates rival Chinese astronomical traditions,"World’s earliest full star atlas on paper; shows global diversity of sky mapping

Самый ранний в мире полный звездный атлас на бумаге; отображает глобальное разнообразие карт звездного неба",https://www.nature.com/articles/459778a
8,"Al-Sūfī,Book of Fixed Stars",Illuminated manuscript,964 CE,Harmonizes Greek science with Islamic observations,"Standard celestial reference across Islamic world for centuries

Стандартная небесная система отсчета в исламском мире на протяжении веков",https://www.loc.gov/item/2021667391/
9,"Giotto,Adoration of the Magi",Fresco,1304-06,Unites biblical narrative with observed astronomy,"First realistic comet in Western art; points to empirical eye in Renaissance faith

Первая реалистическая комета в западном искусстве; указывает на эмпирический взгляд в вере эпохи Возрождения",https://www.wga.hu/html_m/g/giotto/padova/3christ/chris02.html
10,"Hevelius,Firmamentum Sobiescianum",Copperplate star atlas,1690,Updates naked-eye catalogue after telescopic age dawn,"Rivals Bayer’sUranometria; last great pre-telescopic atlas

Конкуренты Bayer's Uranometria; последний великолепный атлас до телескопической разработки",https://www.lindahall.org/experience/digital-exhibitions/out-of-this-world/22-the-innovations-of-hevelius-1690-1731/
